matrix_name,m,n,nnz_original,nnz_bicg,standalone_gflops,bicg_gflops,perf_ratio,standalone_working_set,bicg_working_set,gflops_change_pct,nnz_change_pct,working_set_change_pct,device,cache_category
Ga41As41H72,268096,268096,18488476,18488476,122.768221,89.80578433333334,0.7315067661796072,216.69999999999996,233.06000000000003,-26.849323382039287,0.0,7.549607752653471,ARM-GRACE-72,Both Out of LLC
eu-2005,862664,862664,19235140,19596377,103.84381966666666,65.41666701838442,0.6299524346115981,236.58597061157226,293.37,-37.00475653884019,1.8780055668947562,24.0014356056877,ARM-GRACE-72,Both Out of LLC
wikipedia-20051105,1634989,1634989,19753078,21370879,46.98453433333333,38.26069170047627,0.8143252294262306,257.2457368469238,375.55,-18.567477057376937,8.1901210535391,45.988813887895105,ARM-GRACE-72,Both Out of LLC
kron_g500-logn18,262144,262144,21165908,21427516,59.144877666666666,54.029230078203994,0.9135064981063307,247.22613403320312,266.22,-8.64935018936693,1.2359876079967842,7.6827905112353445,ARM-GRACE-72,Both Out of LLC
rajat31,4690002,4690002,20316253,20317504,71.89847400000001,41.41531046445216,0.5760248884343798,321.95568344116214,608.23,-42.39751115656202,0.006157631527821592,88.91730485980221,ARM-GRACE-72,Both Out of LLC
human_gene1,22283,22283,24669643,24669643,93.35526233333333,94.79260466666666,1.0153964789708498,282.75,284.11,1.5396478970849805,0.0,0.4809902740937272,ARM-GRACE-72,Both Out of LLC
delaunay_n22,4194304,4194304,25165738,29360042,42.16481033333333,23.807956377143967,0.564640423825709,368.0,672.0,-43.53595761742909,16.666723622410757,82.6086956521739,ARM-GRACE-72,Both Out of LLC
sx-stackoverflow,2601977,2601977,36233450,37477661,30.53527733333333,30.670309885739226,1.0044221819547219,464.29113510131833,637.34,0.4422181954721921,3.4338739479679683,37.27162804022065,ARM-GRACE-72,Both Out of LLC
dgreen,1200611,1200611,38259877,38259877,59.103409,53.18051466666666,0.8997876022120257,460.75,534.03,-10.021239778797428,0.0,15.904503526858377,ARM-GRACE-72,Both Out of LLC
ldoor,952203,952203,46522475,46522475,66.68131,58.94252699999999,0.8839437467560249,550.57,608.69,-11.605625324397504,0.0,10.556332528107234,ARM-GRACE-72,Both Out of LLC
dielFilterV2real,1157456,1157456,48538952,48538952,68.44553666666667,59.892081999999995,0.8750326890075762,577.56,648.21,-12.496731099242371,0.0,12.232495325161038,ARM-GRACE-72,Both Out of LLC
circuit5M,5558326,5558326,59524291,59526170,53.663969666666674,43.06258864564725,0.8024488108712453,787.2184965515138,1126.49,-19.755118912875467,0.0031566944661298025,43.09750151129548,ARM-GRACE-72,Both Out of LLC
soc-LiveJournal1,4847571,4847571,68993773,73322962,29.772581000000002,29.118525387633593,0.9780316119597958,882.0263636779786,1227.45,-2.1968388040204156,6.274753230266157,39.162506989205276,ARM-GRACE-72,Both Out of LLC
bone010,986703,986703,71666325,71666325,80.99435333333334,73.29296366666667,0.9049144866312903,838.98,899.2000000000002,-9.508551336870978,0.0,7.17776347469548,ARM-GRACE-72,Both Out of LLC
audikw_1,943695,943695,77651847,77651847,59.202432666666674,55.02959833333333,0.9295158299182051,906.65,964.25,-7.048417008179484,0.0,6.3530579606242785,ARM-GRACE-72,Both Out of LLC
cage15,5154859,5154859,99199551,99199551,53.82792233333333,48.914144,0.9087132083065662,1233.57,1548.2,-9.12867916934338,0.0,25.505646213834655,ARM-GRACE-72,Both Out of LLC
